country;state;city;ibgeID;deaths;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;_source;date;newCases;newDeaths;last_info_date
Brazil;GO;Abadia de Goiás;5200050;50;4074;54597074;4448569557;1227;MS;18/03/2023;5;0;18/03/2023
Brazil;MG;Abadia dos Dourados;3100104;21;1943;29906010;2767017944;1081;MS;18/03/2023;0;0;18/03/2023
Brazil;GO;Abadiânia;5200100;55;2218;26349830;1062616778;2480;MS;18/03/2023;-1;0;18/03/2023
Brazil;PA;Abaetetuba;1500107;244;12009;15208272;748508779;2032;MS;18/03/2023;13;0;18/03/2023
Brazil;MG;Abaeté;3100203;51;4279;21923226;1839401625;1192;MS;18/03/2023;0;0;18/03/2023
Brazil;CE;Abaiara;2300101;20;1362;16715420;1138320100;1468;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Abaré;2900207;18;3008;8740410;1460619598;598;MS;18/03/2023;0;0;18/03/2023
Brazil;PR;Abatiá;4100103;24;1774;32608696;2410326087;1353;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Abaíra;2900108;17;361;19582997;415850708;4709;MS;18/03/2023;0;0;18/03/2023
Brazil;SC;Abdon Batista;4200051;4;540;15785320;2131018153;741;MS;18/03/2023;0;0;18/03/2023
Brazil;PA;Abel Figueiredo;1500131;12;1452;15923567;1926751592;826;MS;18/03/2023;0;0;18/03/2023
Brazil;SC;Abelardo Luz;4200101;70;2752;38856508;1527615876;2544;MS;18/03/2023;18;0;18/03/2023
Brazil;MG;Abre Campo;3100302;19;2197;14143219;1635402710;865;MS;18/03/2023;0;0;18/03/2023
Brazil;PE;Abreu e Lima;2600054;261;6031;25919085;598919542;4328;MS;18/03/2023;64;0;18/03/2023
Brazil;TO;Abreulândia;1700251;8;524;30663089;2008432350;1527;MS;18/03/2023;-4;0;18/03/2023
Brazil;MG;Acaiaca;3100401;12;293;30037547;733416771;4096;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Acajutiba;2900306;28;754;18404101;495596161;3714;MS;18/03/2023;0;0;18/03/2023
Brazil;CE;Acarape;2300150;36;3470;23778071;2291941876;1037;MS;18/03/2023;0;0;18/03/2023
Brazil;CE;Acaraú;2300200;121;8162;19038328;1284221789;1482;MS;18/03/2023;7;0;18/03/2023
Brazil;RN;Acari;2400109;26;1499;23410769;1349720872;1734;MS;18/03/2023;0;0;18/03/2023
Brazil;PA;Acará;1500206;46;2559;8252009;459062859;1798;MS;18/03/2023;7;1;18/03/2023
Brazil;PI;Acauã;2200053;3;258;4214075;362410451;1163;MS;18/03/2023;0;0;18/03/2023
Brazil;RS;Aceguá;4300034;8;1172;16061032;2352941176;683;MS;18/03/2023;1;0;18/03/2023
Brazil;CE;Acopiara;2300309;185;6560;33828881;1199553824;2820;MS;18/03/2023;0;0;18/03/2023
Brazil;MT;Acorizal;5100102;24;1704;45206254;3209644001;1408;MS;18/03/2023;0;0;18/03/2023
Brazil;AC;Acrelândia;1200013;40;3481;25443674;2214235736;1149;MS;18/03/2023;2;0;18/03/2023
Brazil;GO;Acreúna;5200134;85;6620;37428446;2915015412;1284;MS;18/03/2023;9;0;18/03/2023
Brazil;SP;Adamantina;3500105;190;11547;54049441;3284783660;1645;MS;18/03/2023;17;0;18/03/2023
Brazil;GO;Adelândia;5200159;6;704;23856859;2799204771;852;MS;18/03/2023;0;0;18/03/2023
Brazil;SP;Adolfo;3500204;28;1150;78984485;3244005642;2435;MS;18/03/2023;1;0;18/03/2023
Brazil;PR;Adrianópolis;4100202;31;2019;53475936;3482835950;1535;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Adustina;2900355;29;1808;16851647;1050613051;1604;MS;18/03/2023;3;0;18/03/2023
Brazil;PE;Afogados da Ingazeira;2600104;82;10181;21839876;2711607095;805;MS;18/03/2023;11;0;18/03/2023
Brazil;RN;Afonso Bezerra;2400307;19;1344;17235123;1219158200;1414;MS;18/03/2023;0;0;18/03/2023
Brazil;ES;Afonso Cláudio;3200102;88;8580;29018004;2829255424;1026;MS;18/03/2023;3;0;18/03/2023
Brazil;MA;Afonso Cunha;2100105;2;461;3016136;695219424;434;MS;18/03/2023;0;0;18/03/2023
Brazil;PE;Afrânio;2600203;16;1754;8007607;877833942;912;MS;18/03/2023;2;0;18/03/2023
Brazil;PA;Afuá;1500305;20;3590;5011275;899523929;557;MS;18/03/2023;0;0;18/03/2023
Brazil;PE;Agrestina;2600302;74;3152;29318542;1248811410;2348;MS;18/03/2023;1;0;18/03/2023
Brazil;PI;Agricolândia;2200103;13;1065;25375756;2078860043;1221;MS;18/03/2023;1;0;18/03/2023
Brazil;SC;Agrolândia;4200200;35;2371;31362007;2124551971;1476;MS;18/03/2023;0;0;18/03/2023
Brazil;SC;Agronômica;4200309;15;1324;26929982;2377019749;1133;MS;18/03/2023;1;0;18/03/2023
Brazil;MG;Aguanil;3100807;8;1297;17555409;2846170726;617;MS;18/03/2023;0;0;18/03/2023
Brazil;SP;Aguaí;3500303;138;7311;37316460;1976961142;1888;MS;18/03/2023;33;0;18/03/2023
Brazil;RS;Agudo;4300109;39;3588;23861968;2195301028;1087;MS;18/03/2023;3;0;18/03/2023
Brazil;PR;Agudos do Sul;4100301;39;1817;40765130;1899236960;2146;MS;18/03/2023;1;0;18/03/2023
Brazil;SP;Agudos;3500709;123;9316;32728434;2478846256;1320;MS;18/03/2023;5;0;18/03/2023
Brazil;PB;Aguiar;2500205;7;948;12451085;1686232657;738;MS;18/03/2023;0;0;18/03/2023
Brazil;TO;Aguiarnópolis;1700301;15;1166;21279614;1654135338;1286;MS;18/03/2023;12;0;18/03/2023
Brazil;MG;Aimorés;3101102;96;4049;38222647;1612119764;2371;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Aiquara;2900603;6;735;13676772;1675404605;816;MS;18/03/2023;0;0;18/03/2023
Brazil;CE;Aiuaba;2300408;18;1229;10236579;698930846;1465;MS;18/03/2023;-1;0;18/03/2023
Brazil;MG;Aiuruoca;3101201;15;1180;25214322;1983526643;1271;MS;18/03/2023;0;0;18/03/2023
Brazil;RS;Ajuricaba;4300208;39;2811;56107035;4044022443;1387;MS;18/03/2023;6;0;18/03/2023
Brazil;PB;Alagoa Grande;2500304;85;6296;29946449;2218151071;1350;MS;18/03/2023;3;0;18/03/2023
Brazil;PB;Alagoa Nova;2500403;39;3341;18578506;1591558689;1167;MS;18/03/2023;1;0;18/03/2023
Brazil;MG;Alagoa;3101300;9;748;33872789;2815205119;1203;MS;18/03/2023;0;0;18/03/2023
Brazil;PI;Alagoinha do Piauí;2200251;13;411;16931493;535295650;3163;MS;18/03/2023;0;0;18/03/2023
Brazil;PB;Alagoinha;2500502;26;2557;17772917;1747898011;1017;MS;18/03/2023;0;0;18/03/2023
Brazil;PE;Alagoinha;2600609;31;3671;20948777;2480740641;844;MS;18/03/2023;16;0;18/03/2023
Brazil;BA;Alagoinhas;2900702;12;682;784196;44568464;1760;MS;18/03/2023;0;0;18/03/2023
Brazil;SP;Alambari;3500758;13;1646;20863425;2641630557;790;MS;18/03/2023;6;0;18/03/2023
Brazil;MG;Albertina;3101409;14;870;46434494;2885572139;1609;MS;18/03/2023;0;0;18/03/2023
Brazil;PB;Alcantil;2500536;9;1355;16283698;2451601230;664;MS;18/03/2023;0;0;18/03/2023
Brazil;MS;Alcinópolis;5000252;15;1005;27327382;1830934596;1493;MS;18/03/2023;0;0;18/03/2023
Brazil;BA;Alcobaça;2900801;371;20493;164822960;9104358257;1810;MS;18/03/2023;25;0;18/03/2023
Brazil;MA;Alcântara;2100204;21;337;9491096;152309500;6231;MS;18/03/2023;0;0;18/03/2023
Brazil;CE;Alcântaras;2300507;23;2532;19415837;2137430356;908;MS;18/03/2023;0;0;18/03/2023
Brazil;MA;Aldeias Altas;2100303;14;1189;5189221;440713147;1177;MS;18/03/2023;0;0;18/03/2023
