ibge;Pais;region;state;city;pop2019;pop2020;pop2021;isCountryside;cod_RegiaoDeSaude;name_RegiaoDeSaude
2600054;Brasil;Nordeste;PE;Abreu e Lima;99990;100346;100698;0;26010;Recife
2600104;Brasil;Nordeste;PE;Afogados da Ingazeira;37259;37404;37546;1;26001;Afogados da Ingazeira
2600203;Brasil;Nordeste;PE;Afrânio;19635;19810;19981;1;26009;Petrolina
2600302;Brasil;Nordeste;PE;Agrestina;24885;25065;25240;1;26003;Caruaru
2600401;Brasil;Nordeste;PE;Água Preta;36771;37082;37386;1;26008;Palmares
2600500;Brasil;Nordeste;PE;Águas Belas;43443;43686;43923;1;26004;Garanhuns
2600609;Brasil;Nordeste;PE;Alagoinha;14636;14718;14798;1;26003;Caruaru
2600708;Brasil;Nordeste;PE;Aliança;38386;38397;38408;1;26005;Goiana
2600807;Brasil;Nordeste;PE;Altinho;22972;22984;22996;1;26003;Caruaru
2600906;Brasil;Nordeste;PE;Amaraji;22829;22870;22910;1;26008;Palmares
2601003;Brasil;Nordeste;PE;Angelim;11150;11226;11301;1;26004;Garanhuns
2601052;Brasil;Nordeste;PE;Araçoiaba;20524;20733;20936;0;26010;Recife
2601102;Brasil;Nordeste;PE;Araripina;84418;84864;85301;1;26007;Ouricuri
2601201;Brasil;Nordeste;PE;Arcoverde;74338;74822;75295;1;26002;Arcoverde
2601300;Brasil;Nordeste;PE;Barra de Guabiraba;14385;14510;14632;1;26003;Caruaru
2601409;Brasil;Nordeste;PE;Barreiros;42659;42764;42866;1;26008;Palmares
2601508;Brasil;Nordeste;PE;Belém de Maria;12073;12122;12169;1;26008;Palmares
2601607;Brasil;Nordeste;PE;Belém do São Francisco;20729;20730;20730;1;26011;Salgueiro
2601706;Brasil;Nordeste;PE;Belo Jardim;76439;76687;76930;1;26003;Caruaru
2601805;Brasil;Nordeste;PE;Betânia;12719;12765;12811;1;26012;Serra Talhada
2601904;Brasil;Nordeste;PE;Bezerros;60798;60880;60960;1;26003;Caruaru
2602001;Brasil;Nordeste;PE;Bodocó;38146;38378;38605;1;26007;Ouricuri
2602100;Brasil;Nordeste;PE;Bom Conselho;48554;48767;48975;1;26004;Garanhuns
2602209;Brasil;Nordeste;PE;Bom Jardim;39184;39983;40038;1;26006;Limoeiro
2602308;Brasil;Nordeste;PE;Bonito;38134;38117;38101;1;26003;Caruaru
2602407;Brasil;Nordeste;PE;Brejão;8993;8987;8981;1;26004;Garanhuns
2602506;Brasil;Nordeste;PE;Brejinho;7487;7488;7489;1;26001;Afogados da Ingazeira
2602605;Brasil;Nordeste;PE;Brejo da Madre de Deus;50742;51225;51696;1;26003;Caruaru
2602704;Brasil;Nordeste;PE;Buenos Aires;13155;13190;13224;1;26006;Limoeiro
2602803;Brasil;Nordeste;PE;Buíque;58378;58919;59448;1;26002;Arcoverde
2602902;Brasil;Nordeste;PE;Cabo de Santo Agostinho;207048;208944;210796;0;26010;Recife
2603009;Brasil;Nordeste;PE;Cabrobó;34221;34503;34778;1;26009;Petrolina
2603108;Brasil;Nordeste;PE;Cachoeirinha;20380;20501;20618;1;26003;Caruaru
2603207;Brasil;Nordeste;PE;Caetés;28739;28904;29065;1;26004;Garanhuns
2603306;Brasil;Nordeste;PE;Calçado;11053;11018;10983;1;26004;Garanhuns
2603405;Brasil;Nordeste;PE;Calumbi;5750;5747;5744;1;26012;Serra Talhada
2603454;Brasil;Nordeste;PE;Camaragibe;157828;158899;159945;0;26010;Recife
